Customer_ID,Customer_Name,Age,Gender,Annual_Income,Spending_Score,Marital_Status,Product_Category,Years_as_Customer,Number_of_Transactions,Average_Transaction_Amount,Loyalty_Card,Discount_Avail,Preferred_Shopping_Channel,Customer_Segment
29,Rodney Gonzalez,48,0,89904,16,1,Clothing,15,15,360.0,1,1,Online,0
30,Ann Torres,42,0,29488,60,0,Clothing,1,97,213.19,1,1,In-Store,2
31,Barbara Turner,55,1,134171,30,1,Clothing,1,62,430.91,1,0,Online,1
32,Sarah Kelly,62,1,66016,54,1,Sports,8,26,576.24,0,0,Online,0
33,Christopher Zavala,25,0,64290,17,1,Clothing,18,93,164.01,0,0,In-Store,1
34,Susan Holt,61,0,133979,17,0,Sports,19,10,360.09,1,1,Online,0
35,Jason Pratt,43,0,149801,64,0,Clothing,7,12,735.5,1,0,In-Store,1
36,Danielle Munoz,53,0,102419,44,0,Electronics,14,26,58.98,1,1,In-Store,0
37,Lindsey Johnson,56,1,85377,72,1,Electronics,6,20,842.11,0,0,In-Store,1
38,Cameron Maxwell,22,1,96720,43,1,Clothing,6,65,77.69,1,0,Online,2
39,Ashley Prince,28,0,89297,89,1,Groceries,3,38,320.51,1,1,In-Store,2
40,John Clark,47,0,50945,56,0,Electronics,6,34,480.17,0,0,In-Store,1
41,Megan Cruz,23,1,76476,40,0,Sports,4,69,51.96,0,0,In-Store,1
42,Mary Johnson,59,1,46819,5,0,Sports,5,90,789.81,1,0,In-Store,1
43,Edward Tran,64,0,34754,86,0,Sports,12,34,656.3,1,1,In-Store,2
44,Alison Long,68,0,111962,9,1,Clothing,9,30,454.48,0,1,In-Store,2
45,Samantha Ortega,62,0,141337,39,1,Groceries,17,93,868.16,0,1,In-Store,2
46,Nancy Conrad,38,0,29186,77,0,Clothing,11,51,273.68,1,0,Online,2
47,Brittany Lang,56,0,128152,29,0,Sports,5,55,188.3,0,1,Online,1
48,Paul Lewis,69,1,126580,93,1,Electronics,9,6,32.26,1,1,Online,1
49,Michelle Tapia,45,1,58041,80,0,Home,7,86,722.04,1,1,Online,2
50,Jennifer Walker,67,0,98032,65,1,Electronics,5,86,633.51,0,1,In-Store,0
51,Tyler Russell,55,1,141390,82,0,Groceries,13,19,908.37,0,1,Online,1
52,Andrew Perry,50,0,110695,76,0,Home,13,57,525.03,0,1,In-Store,2
53,Janet Henderson,67,0,133336,60,0,Clothing,4,36,83.18,0,0,Online,1
54,Gary Ramirez,28,0,27492,34,1,Home,12,80,423.57,0,1,In-Store,1
55,Michelle Hanson,36,1,98424,21,0,Clothing,4,35,86.44,0,0,In-Store,0
56,Lawrence Alexander,68,0,72163,64,0,Electronics,12,75,587.31,1,0,In-Store,1
57,Lindsay Sullivan,46,0,23373,34,1,Electronics,9,30,68.03,1,1,Online,2
58,Brittany Skinner,48,0,124504,97,0,Electronics,10,66,346.8,1,1,Online,0
59,William Wells,18,1,71162,16,1,Home,10,33,577.8,0,0,Online,1
60,April Wagner,68,0,140481,50,0,Clothing,9,40,275.63,0,1,In-Store,0
61,Melissa Lopez,35,0,25991,4,0,Electronics,13,39,855.85,1,0,In-Store,0
62,Kelly Rowe,50,0,81510,75,0,Groceries,17,15,118.19,0,0,In-Store,2
63,Jake Choi,57,1,59382,91,0,Sports,7,20,777.7,1,0,Online,0
64,Denise Choi,63,1,139296,43,1,Clothing,7,75,980.07,0,0,Online,2
65,Francisco Smith,21,0,77090,17,1,Home,7,84,72.7,0,1,In-Store,2
66,Michael Harrison,28,1,59263,53,1,Clothing,11,69,443.29,0,1,In-Store,2
67,John Ramirez,28,1,66138,95,0,Sports,2,13,994.97,1,0,Online,1
68,Thomas Rivas,42,1,20572,5,1,Groceries,6,81,91.85,1,1,In-Store,2
69,Duane Klein,19,0,58606,61,1,Home,19,97,993.2,1,1,In-Store,1
70,Melissa Murillo,44,1,149762,85,1,Electronics,19,53,297.04,0,0,In-Store,0
71,Kristin Pena,44,0,53659,85,1,Electronics,17,5,286.52,1,0,Online,2
72,Mary Moore,20,0,139197,4,0,Home,6,64,301.84,1,1,In-Store,2
73,Jason Lawson,61,0,47721,47,1,Home,7,61,916.07,0,0,In-Store,2
74,Jaime Torres,26,0,31262,3,0,Clothing,13,24,838.3,1,1,In-Store,1
75,Derek Johnson,23,1,90649,23,0,Electronics,7,72,408.14,1,1,In-Store,0
76,Tonya Klein,44,0,72812,9,1,Sports,3,27,403.73,0,0,In-Store,0
77,Andrew Sanchez,62,0,125492,54,1,Clothing,13,2,393.0,1,0,Online,1
78,Jacqueline Jensen,36,1,109759,30,1,Electronics,6,57,285.68,0,0,In-Store,1
79,Theresa Walker,50,0,120377,72,1,Home,13,17,493.98,0,0,Online,0
80,Dr. Angela Reyes,32,0,82081,40,1,Home,2,56,799.03,0,0,In-Store,0
81,Carlos Woods,44,1,74591,36,0,Clothing,6,94,398.4,0,0,In-Store,2
82,Christopher Romero,56,1,71143,75,0,Sports,8,37,796.97,1,0,In-Store,1
83,Brad Hunt,47,0,84442,53,0,Electronics,12,41,715.45,0,0,Online,2
84,Jordan Pennington,49,1,132764,20,0,Clothing,11,20,895.82,1,1,In-Store,2
85,Keith Garcia,54,0,22251,26,0,Groceries,6,3,91.31,1,1,In-Store,0
86,Dr. Melinda Harrison,42,0,32457,96,0,Groceries,16,20,477.79,0,0,Online,0
87,Donald Mitchell,58,0,137420,83,1,Electronics,13,56,331.74,0,0,In-Store,2
88,Shannon Osborne,54,0,142819,11,1,Home,13,44,609.13,1,0,In-Store,1
89,Michael Greer,25,1,96820,55,0,Home,6,31,970.63,0,1,In-Store,2
90,Sarah Atkinson,64,1,26848,98,1,Electronics,3,24,553.38,0,1,Online,2
91,Courtney Daniel,67,1,42361,38,0,Clothing,12,86,960.22,0,1,In-Store,1
92,Jonathan Johnston,46,1,149398,19,0,Home,1,46,877.99,1,1,Online,2
93,Sheena Vang,48,1,39619,7,0,Electronics,14,45,158.43,1,0,In-Store,2
94,Paul Carroll,27,0,116469,3,0,Home,1,34,795.35,1,0,Online,1
95,Heather Smith,36,0,149593,13,0,Home,7,66,982.32,0,0,Online,1
96,Shawn Schwartz,48,0,135850,76,1,Sports,9,95,396.73,0,1,Online,2
97,Linda Quinn,38,1,30310,33,0,Clothing,19,8,522.85,1,1,In-Store,1
98,Scott Dawson,44,0,116781,51,1,Sports,16,95,741.6,1,0,Online,0
99,Christina Flowers,31,0,129820,46,1,Clothing,14,9,782.28,1,0,Online,2
100,Monique Wilson,37,1,26825,15,0,Groceries,6,50,768.81,1,0,Online,2
101,Ariana Mills,41,1,140139,72,1,Clothing,18,98,787.97,1,0,Online,0
102,Cassidy Vazquez,33,0,116052,85,0,Electronics,13,18,760.47,0,1,Online,1
103,Eric Parker,67,0,44967,50,1,Sports,5,60,469.06,1,0,In-Store,0
104,Joseph Molina,23,0,51478,29,0,Electronics,15,92,840.29,1,1,In-Store,1
105,Robert Larsen,52,0,68068,35,0,Home,1,57,47.77,1,0,Online,1
106,Michael Fry,25,1,104297,20,0,Sports,12,19,424.48,0,0,In-Store,2
107,Matthew Robbins,50,1,26494,25,0,Groceries,13,37,401.51,0,0,In-Store,0
108,Richard Moore,52,0,47592,24,1,Sports,8,69,982.05,1,1,Online,1
109,Suzanne Sawyer,43,0,57283,16,1,Clothing,5,31,390.5,1,0,In-Store,0
110,Ryan Boone,32,1,149744,77,0,Home,19,66,123.06,0,1,In-Store,2
111,Deborah Robertson,24,0,71437,86,0,Clothing,17,85,859.7,0,0,In-Store,0
112,Michelle Young,22,1,87863,14,0,Sports,14,73,49.48,0,1,In-Store,1
113,Francisco Jimenez,28,1,45627,76,0,Home,17,78,95.8,0,1,In-Store,2
114,Steven Maldonado,46,0,139094,40,1,Groceries,1,1,573.94,1,1,Online,0
115,Marissa Graham,19,0,111053,60,0,Clothing,15,22,117.97,0,0,Online,2
116,Richard Nguyen,38,0,112297,76,1,Clothing,5,39,910.19,0,1,In-Store,2
117,Denise Foster,54,1,92303,78,1,Sports,18,50,245.97,0,0,In-Store,2
118,Mary Sosa,69,0,65503,9,0,Home,7,48,575.14,1,1,Online,2
119,Sarah Walsh,52,1,149811,52,1,Clothing,13,42,167.07,0,0,In-Store,0
120,Christopher Hamilton,67,0,115122,93,0,Clothing,6,77,614.27,1,1,In-Store,0
121,Amanda Barry,50,1,28551,45,0,Groceries,9,91,29.45,1,1,Online,1
122,James Stephenson,55,1,144387,16,0,Home,18,68,140.51,1,1,In-Store,2
123,Lauren Johnson,26,1,98423,83,0,Home,18,15,342.49,0,1,Online,1
124,Nicole Mclean,28,1,121431,44,0,Electronics,17,20,110.73,0,1,Online,1
125,Joshua Turner,35,1,42915,67,1,Groceries,5,60,40.25,0,0,Online,2
126,Nicholas Berg,34,0,115499,41,0,Sports,16,11,889.5,0,1,In-Store,2
127,Nathaniel Martin,29,1,89467,27,1,Electronics,18,46,705.91,1,1,Online,1
128,Gabriel Whitaker MD,37,0,128616,23,0,Sports,9,11,398.77,1,0,In-Store,2
129,Angela Alexander,29,1,80934,46,1,Home,18,62,415.97,1,0,In-Store,0
130,Cheryl Barron,41,0,131651,76,1,Clothing,18,58,929.88,0,0,Online,1
131,Jenna Evans,47,0,56842,46,0,Electronics,9,11,840.63,1,0,In-Store,2
132,Amanda Johnson,61,0,145604,82,1,Clothing,10,53,15.95,0,1,Online,0
133,Eric Wheeler,67,0,80925,46,1,Electronics,9,30,789.9,1,1,In-Store,0
134,Brent Barker,49,1,145859,61,0,Sports,11,83,80.48,1,1,Online,0
135,Shannon Nixon,43,0,34235,15,1,Groceries,1,1,264.32,1,1,In-Store,0
136,Brian Bailey,58,0,79795,12,1,Clothing,8,33,344.13,1,1,In-Store,1
137,James Finley,18,0,74934,60,1,Clothing,8,36,66.69,1,0,In-Store,2
138,Carly Evans,67,0,62321,95,1,Clothing,13,50,542.62,0,1,In-Store,0
139,Christopher Porter,35,0,93623,59,1,Electronics,10,40,147.28,1,1,In-Store,1
140,Shelly Daniels,68,0,36365,63,0,Home,6,32,573.29,1,1,In-Store,0
141,Michael Leon,28,1,77434,66,0,Groceries,4,96,639.99,1,1,In-Store,0
142,Jeanne Jimenez,52,1,30051,70,0,Sports,10,89,727.28,1,1,Online,2
143,Stephanie Smith,60,1,114001,49,1,Home,5,89,611.21,1,1,Online,2
144,Ian Dodson Jr.,23,1,144273,26,1,Home,9,91,992.45,1,0,Online,2
145,Sabrina Patterson,53,0,65321,59,1,Groceries,9,96,963.3,0,0,In-Store,0
146,Lindsey Ramos,57,1,116978,66,1,Groceries,8,94,784.38,0,1,Online,0
147,John Valenzuela,58,1,124620,2,0,Home,6,17,880.1,1,0,In-Store,1
148,Michael Taylor,51,0,145647,82,0,Home,14,31,762.1,0,0,Online,1
149,Michael Shaw,60,0,29317,7,1,Groceries,12,61,462.83,1,1,Online,1
150,Kevin Dean,62,1,64063,8,0,Home,8,69,661.01,0,1,Online,1
151,Ana Brennan,48,1,52578,42,0,Home,7,85,803.85,0,0,Online,2
152,Amy Smith,30,1,130392,39,0,Home,9,61,774.9,0,0,In-Store,2
153,Claudia Frazier,32,0,106748,64,0,Electronics,15,47,194.61,0,0,Online,1
154,Adrienne Roth,60,1,30186,9,1,Home,12,30,100.39,1,0,Online,1
155,Vanessa Chang,25,1,21350,81,0,Sports,4,86,417.58,0,1,Online,2
156,Mason Ward,18,1,24066,32,0,Home,15,60,868.08,0,1,Online,0
157,Rita Gardner,26,1,61553,39,0,Electronics,16,14,742.26,1,1,In-Store,2
158,Olivia Sellers,54,1,95956,93,0,Clothing,16,41,199.56,0,1,In-Store,1
159,Joseph Love,42,1,106424,15,1,Home,17,51,509.68,0,1,Online,0
160,Julie Sexton PhD,23,0,68969,65,0,Sports,1,13,391.57,1,1,Online,0
161,Patricia Thompson,29,1,107241,53,0,Groceries,7,17,980.82,0,1,In-Store,2
162,Amber Elliott,21,1,73259,19,1,Clothing,1,48,689.15,0,1,Online,1
163,Mary Delacruz,58,0,109728,3,1,Clothing,4,61,997.81,0,0,In-Store,0
164,Christy Jenkins,69,1,86741,49,1,Home,11,24,308.46,1,1,Online,1
165,Brian Orozco,62,1,47169,90,1,Groceries,14,19,330.84,0,1,In-Store,1
166,Katherine Wade,55,1,128381,24,0,Clothing,12,42,947.56,0,0,Online,2
167,Jonathan Yoder,62,0,119319,94,0,Clothing,10,92,29.62,1,0,Online,1
168,Anita Walker,52,0,130801,8,1,Home,3,13,596.71,0,1,Online,2
169,Charles Woods,60,1,50482,38,1,Groceries,3,23,780.58,1,1,In-Store,0
170,Sean Nunez,61,0,50158,40,0,Groceries,18,21,492.98,1,0,Online,0
171,Veronica Martin,60,1,109260,9,0,Home,1,59,86.52,1,1,In-Store,1
172,Mark Navarro,47,0,128891,44,1,Electronics,16,22,926.71,0,0,In-Store,0
173,Scott Webster,63,0,52714,8,0,Home,15,36,23.08,0,1,Online,0
174,Gary Day,30,0,71933,2,1,Sports,10,74,327.41,0,0,In-Store,0
175,Jill Clayton,22,0,26336,23,1,Electronics,11,85,662.93,1,1,Online,1
176,Ronald Powell,21,1,119226,36,1,Electronics,8,94,705.02,1,0,Online,0
177,Katherine Dixon,49,0,22828,50,1,Clothing,18,99,575.35,1,0,Online,2
178,Ashley Adams,62,1,32301,16,0,Clothing,17,16,497.5,0,1,Online,2
179,Jonathan White,68,0,65370,13,1,Home,13,81,947.74,0,1,Online,2
180,Michael Richardson,21,1,129660,34,0,Groceries,16,62,721.68,0,0,Online,2
181,Amber Hoffman,32,0,80175,87,1,Groceries,15,76,879.81,0,1,In-Store,2
182,Brian Beard,19,0,46118,33,1,Home,11,88,787.99,0,0,In-Store,2
183,Nicole Burgess,58,1,102721,47,1,Groceries,6,62,63.46,1,1,Online,2
184,John Webb,18,1,66102,99,1,Clothing,8,92,140.69,1,1,In-Store,0
185,Michelle Irwin MD,55,0,80055,72,1,Clothing,11,23,714.71,1,0,Online,1
186,Jennifer Smith,67,0,141759,40,1,Groceries,18,2,761.75,1,1,In-Store,1
187,Heather Stafford,60,0,110861,59,1,Sports,3,21,687.02,1,1,Online,0
188,Carol Waller,44,1,123706,33,0,Groceries,3,69,34.19,1,1,In-Store,1
189,William Vaughan,28,0,29610,20,0,Clothing,8,12,632.87,0,1,In-Store,1
190,Alexandria Moore,21,0,124646,1,0,Groceries,12,14,314.63,0,0,In-Store,1
191,Kathy Graham,29,0,41588,84,1,Home,15,69,16.4,0,0,Online,2
192,Kevin Burgess,56,1,41561,72,1,Electronics,5,31,813.97,1,1,In-Store,0
193,Christy Bryant,67,1,101587,6,1,Clothing,7,13,871.1,0,1,In-Store,2
194,Paula Bennett,18,1,69749,14,0,Electronics,6,92,433.3,0,1,Online,0
195,Megan Maxwell,55,0,48141,92,1,Sports,15,95,76.2,1,1,Online,0
196,Patrick Diaz,49,0,123593,51,0,Electronics,8,99,857.68,1,0,In-Store,0
197,Deborah Waters,57,0,57863,11,0,Electronics,15,82,406.38,0,1,In-Store,1
198,Jonathan Horn,31,1,79721,57,1,Home,18,53,96.53,0,1,Online,0
199,Kelli Holt,45,1,99389,81,0,Electronics,17,64,561.79,0,0,In-Store,0
200,Jasmine Maldonado,66,0,50827,4,1,Clothing,8,16,943.47,0,0,Online,1
201,Taylor Mercer,36,1,98472,72,0,Clothing,2,92,184.58,0,1,Online,2
202,Carol Davis,23,0,67160,84,1,Home,1,98,316.63,0,1,In-Store,2
203,Connor Jennings,30,1,97348,68,1,Clothing,7,11,809.98,0,0,In-Store,2
204,Raymond Davis,69,1,148374,87,1,Groceries,11,1,811.55,1,0,Online,1
205,Jamie Brown,32,1,75683,58,1,Groceries,18,33,788.78,1,0,In-Store,0
206,Michelle Robinson,60,1,21923,69,0,Clothing,12,90,42.43,0,0,Online,1
207,Gloria Moreno,22,1,136249,40,0,Home,16,31,743.33,1,0,In-Store,2
208,Emily Fowler,65,0,135689,98,1,Home,10,34,686.27,0,0,In-Store,1
209,Kevin Huang,23,1,39425,66,0,Electronics,4,78,511.09,1,0,In-Store,1
210,Monica Burns,30,1,37682,88,0,Clothing,5,8,662.39,1,1,Online,0
211,Tina Moore,39,0,35784,71,1,Home,18,75,132.26,0,1,In-Store,1
212,Ivan Mitchell,41,1,27685,19,1,Groceries,14,69,792.3,0,1,Online,2
213,Jordan Brown,35,1,68583,69,0,Clothing,14,35,797.67,1,0,Online,2
214,Laura Francis,24,1,93591,11,1,Home,15,85,915.35,0,0,Online,1
215,Whitney Nolan,36,0,118722,56,1,Electronics,6,12,991.66,1,0,Online,0
216,Gabriel Jones,59,1,65455,59,0,Groceries,2,20,186.95,1,1,Online,2
217,Antonio Wright,25,0,20063,1,1,Home,1,58,619.01,1,1,Online,2
218,Steven Myers,58,0,41839,18,0,Home,2,23,795.7,0,0,In-Store,1
219,William Barry,36,1,149270,29,1,Home,17,97,214.3,0,0,Online,1
220,Daniel Andersen,35,1,147581,64,0,Electronics,17,15,681.15,1,0,Online,2
221,Rick Mason,51,0,40375,35,0,Electronics,1,40,473.42,1,0,Online,0
222,James Arroyo,50,0,117617,47,1,Electronics,14,73,268.93,0,1,Online,0
223,Michael Gray,61,0,112198,61,1,Electronics,8,41,47.37,1,0,Online,0
224,Kimberly Meyer,46,1,101696,25,1,Home,4,75,818.55,0,0,In-Store,2
225,Mrs. Sylvia King,40,0,34164,50,0,Sports,5,15,539.69,0,0,In-Store,0
226,Cynthia Jacobson,54,0,91026,4,1,Sports,4,30,158.46,0,0,Online,2
227,Thomas Davis,60,0,87075,69,1,Home,17,20,130.88,0,0,Online,0
228,Matthew Stewart,53,0,127959,49,0,Sports,12,14,296.19,0,0,Online,2
229,Susan Chase,51,1,62878,50,0,Clothing,18,27,157.25,0,0,Online,0
230,Kevin Williams,59,0,113465,22,1,Clothing,14,12,573.39,1,1,In-Store,0
231,Tiffany Rivera,24,1,106306,74,0,Groceries,18,46,151.32,1,1,In-Store,2
232,Nicole Gordon,29,0,81289,16,0,Groceries,15,9,484.72,0,0,Online,1
233,Darius Simpson,20,0,91166,50,1,Sports,1,27,895.1,0,0,In-Store,0
234,Paul Perez,61,0,107448,15,1,Clothing,10,93,811.32,1,1,In-Store,1
235,Katelyn Green,38,1,96632,2,0,Groceries,19,94,462.61,0,0,Online,1
236,Paul Morgan,20,0,120652,72,0,Groceries,7,55,328.84,0,1,Online,0
237,David Bailey,27,1,105071,8,0,Home,18,24,555.33,0,0,Online,1
238,Paige Boyd,46,1,47442,63,1,Electronics,18,63,88.95,0,0,In-Store,2
239,Jacob Williams,42,1,30736,35,0,Clothing,19,78,394.45,0,1,In-Store,2
240,Charles Jenkins,27,0,31636,91,0,Clothing,7,29,587.79,1,0,In-Store,2
241,Robert Reynolds,40,0,22312,66,0,Groceries,9,52,403.32,0,0,In-Store,1
242,Michael Duncan,43,0,57694,48,1,Sports,14,81,44.19,1,0,Online,0
243,Mary Wood,37,1,38430,79,0,Electronics,7,38,939.95,1,0,In-Store,0
244,Michael Nolan,55,0,62561,71,0,Groceries,17,40,532.35,0,1,Online,0
245,Lauren Lloyd,18,0,76403,92,0,Electronics,14,73,906.05,1,0,Online,1
246,Carmen Winters,69,1,114217,65,0,Home,15,42,969.99,1,1,Online,1
247,William Mayer,22,0,134319,4,0,Sports,17,10,680.87,0,1,Online,1
248,Alexis Roach,27,0,57042,69,1,Home,4,38,521.06,1,0,In-Store,2
249,Felicia Boone,37,0,129058,86,1,Home,4,77,311.03,1,0,In-Store,1
250,Daniel Owens,20,0,78219,53,0,Clothing,10,53,37.63,1,1,Online,2
251,Monica Riley,68,0,32979,100,1,Groceries,13,69,750.91,1,1,Online,1
252,Austin Stafford,27,0,78246,99,1,Electronics,13,51,814.14,1,0,In-Store,1
253,Tina Holder,44,0,99489,3,1,Groceries,6,64,441.21,0,0,In-Store,1
254,Teresa Morales,64,1,146276,77,0,Electronics,14,62,860.03,0,0,In-Store,1
255,Jamie Mason,65,1,109610,43,1,Electronics,3,42,748.69,1,0,In-Store,1
256,Donald Horn Jr.,55,0,32894,5,0,Sports,15,48,10.6,1,1,In-Store,0
257,Brian Adams,65,0,80741,99,1,Electronics,8,25,24.38,1,0,In-Store,2
258,Kevin Hodge,69,1,128292,54,0,Electronics,16,26,609.83,0,1,Online,2
259,Cassandra Martin,32,0,111046,64,1,Groceries,2,7,925.71,0,0,Online,1
260,Tommy Howard,45,1,146520,63,1,Groceries,14,74,990.02,0,0,Online,1
261,Mark Perkins,32,0,105886,18,1,Clothing,19,42,401.06,0,1,In-Store,0
262,Stephanie Wilson,38,0,110598,84,0,Electronics,18,99,494.22,1,0,In-Store,2
263,Patrick Estrada,63,0,68738,16,1,Clothing,2,6,794.34,1,1,Online,0
264,Christopher Villanueva,33,0,129716,8,1,Electronics,7,66,864.45,1,1,In-Store,2
265,Jason Turner,34,1,98197,92,0,Home,19,60,306.92,0,0,In-Store,1
266,Christian Nolan,47,1,88865,71,1,Home,1,71,288.22,1,0,In-Store,2
267,Alexander Mills,20,0,129359,87,1,Groceries,18,71,228.96,1,0,In-Store,0
268,Caroline Brown,57,1,94438,77,0,Electronics,4,70,995.13,1,1,In-Store,1
269,Lisa Hunt,35,1,127477,41,1,Home,19,83,216.35,0,1,Online,1
270,Damon Ferguson,23,0,114941,31,1,Clothing,16,61,649.47,0,1,In-Store,2
271,Melanie Martinez,59,1,81573,81,1,Electronics,12,73,110.41,1,0,In-Store,2
272,William Mclaughlin,61,0,109260,81,1,Groceries,10,52,837.77,1,0,Online,0
273,Michael Jimenez,44,1,71615,92,1,Home,17,15,467.33,0,0,Online,1
274,Antonio Bailey,26,1,106206,45,0,Electronics,14,27,191.6,1,0,In-Store,0
275,Anthony Walton,53,0,77130,52,0,Groceries,5,57,316.81,0,0,Online,0
276,Cassandra Bullock,46,1,52367,6,1,Clothing,2,26,191.43,0,1,Online,2
277,Matthew Abbott,63,0,125496,74,1,Home,17,51,286.72,1,0,In-Store,2
278,Stacey Morales,25,0,99583,83,1,Sports,11,13,919.01,0,0,Online,0
279,Michael White,38,1,122504,88,1,Sports,12,40,244.0,0,1,In-Store,1
280,James Acosta,39,0,39212,44,1,Home,14,18,673.33,1,0,Online,0
281,Brandon Mathis,46,1,42211,51,1,Groceries,2,33,80.27,0,1,Online,2
282,Evan Keith,18,1,137651,68,1,Groceries,6,24,161.17,0,1,Online,1
283,Andrea Cook,43,1,52229,39,0,Home,7,91,198.01,0,1,Online,0
284,Felicia Richardson,46,1,42291,45,0,Clothing,10,47,221.36,0,1,In-Store,2
285,Peter Martinez,22,1,113697,18,1,Groceries,6,25,83.65,1,1,In-Store,2
286,Derek Rodriguez,37,0,22340,20,0,Sports,1,61,734.96,1,1,In-Store,2
287,Joseph Hurst,33,0,34034,95,1,Electronics,10,37,962.94,0,1,Online,0
288,Jonathan Brennan,65,1,82300,59,0,Home,13,73,402.13,1,1,Online,2
289,Eric Lester,32,0,102073,4,1,Home,6,22,930.37,0,1,In-Store,2
290,Michelle Bauer,30,1,126865,25,1,Groceries,16,97,448.33,1,1,In-Store,2
291,Mary Good,47,1,54459,47,0,Electronics,4,82,920.62,1,1,Online,0
292,Mrs. Jo Rodriguez DDS,25,1,38129,90,1,Clothing,7,78,773.75,0,1,Online,1
293,Jason Shaw,34,0,75973,80,0,Sports,11,37,31.7,1,0,In-Store,1
294,Laura Hancock,51,0,41950,1,0,Electronics,17,65,144.3,1,1,Online,2
295,Pamela Dennis MD,68,0,26733,86,0,Groceries,15,33,242.1,0,0,Online,1
296,David Hayes,57,1,128885,89,0,Sports,4,52,299.62,1,1,Online,0
297,Diana Myers,55,0,80110,30,1,Clothing,19,2,842.4,0,0,In-Store,1
298,Katie Bruce,54,1,107899,35,0,Clothing,4,96,175.43,1,0,In-Store,1
299,Douglas Hoffman,40,1,74816,64,1,Electronics,10,43,376.0,0,0,In-Store,0
300,Kimberly Ramirez,56,0,148841,12,0,Home,16,46,505.34,1,1,In-Store,2
301,Mark Patton,45,0,25168,43,0,Home,13,76,610.49,0,0,Online,0
302,Mr. James Calderon,60,1,117996,83,1,Clothing,10,58,262.63,1,0,Online,0
303,Joseph Blair,29,0,111407,78,0,Groceries,12,89,562.01,0,1,Online,1
304,Andrew Bennett,65,1,82294,14,0,Groceries,10,84,827.79,1,1,Online,1
305,Vanessa Floyd,59,0,26237,67,0,Home,17,46,245.19,0,0,In-Store,2
306,Valerie Johnson DDS,36,1,84565,4,0,Home,8,13,629.48,1,1,In-Store,0
307,Allison Carpenter,29,1,24167,100,0,Sports,13,79,839.8,1,1,In-Store,2
308,Wendy Calderon,35,1,130070,63,0,Groceries,7,68,220.53,0,0,In-Store,0
309,Sarah Smith,46,1,109938,28,0,Groceries,17,37,440.65,0,0,In-Store,0
310,James Sutton,48,0,110910,41,0,Groceries,3,20,811.73,1,1,Online,2
311,Rebecca May,18,1,109294,44,1,Sports,7,82,789.69,0,0,In-Store,0
312,Diana Adkins,40,0,52810,25,0,Electronics,3,9,141.79,1,0,In-Store,2
313,Benjamin Myers,55,1,35488,18,0,Home,10,45,235.61,0,1,In-Store,2
314,Maria Mueller,32,0,50549,47,0,Electronics,19,77,230.18,0,1,Online,2
